2026,2,Interacting regional policies in containing a disease
2024,10,Tracking the credibility revolution across fields
2025,18,Tracking the credibility revolution across fields
2026,3,Tracking the credibility revolution across fields
2024,7,Anonymity and identity online
2025,10,Anonymity and identity online
2026,6,Anonymity and identity online
2023,4,The impact of large-scale social media advertising campaigns on COVID-19 vaccination: Evidence from two randomized controlled trials
2024,7,The impact of large-scale social media advertising campaigns on COVID-19 vaccination: Evidence from two randomized controlled trials
2025,9,The impact of large-scale social media advertising campaigns on COVID-19 vaccination: Evidence from two randomized controlled trials
2026,3,The impact of large-scale social media advertising campaigns on COVID-19 vaccination: Evidence from two randomized controlled trials
2009,1,Composite Poisson models for goal scoring
2010,1,Composite Poisson models for goal scoring
2011,1,Composite Poisson models for goal scoring
2012,1,Composite Poisson models for goal scoring
2013,1,Composite Poisson models for goal scoring
2014,2,Composite Poisson models for goal scoring
2015,2,Composite Poisson models for goal scoring
2016,1,Composite Poisson models for goal scoring
2017,1,Composite Poisson models for goal scoring
2018,2,Composite Poisson models for goal scoring
2019,1,Composite Poisson models for goal scoring
2020,1,Composite Poisson models for goal scoring
2021,1,Composite Poisson models for goal scoring
2022,2,Composite Poisson models for goal scoring
2024,1,Composite Poisson models for goal scoring
2025,2,Leniency Designs: An Operator’s Manual
2026,3,Leniency Designs: An Operator’s Manual
2024,1,Non-robustness of diffusion estimates on networks with measurement error
2025,2,Non-robustness of diffusion estimates on networks with measurement error
2026,2,Non-robustness of diffusion estimates on networks with measurement error
2023,2,Mobile phone messaging to promote preventive behaviors
2026,1,Human-AI Collaboration in Radiology: The Case of Pulmonary Embolism
